ZOOL 409 student sign up (only one student per chemical),Contact (https://www.boisestate.edu/research-gutt-c/) in GUTT group who provided list,Study organism(s),Chemical name,CAS,IUPAC identifier,SMILES notation (2.1.4 PubChem),Links to structures (if available),Chemical formula,M/Z,Molecular weight,literature reference
,Deb Conner (BSU),Sagebrush (Artemisia spp),Beta-gurjunene,3464-47-8,"(1aR,4R,4aR,7aR,7bR)-1,1,4-trimethyl-7-methylidene-2,3,4,4a,5,6,7a,7b-octahydro-1aH-cyclopropa[e]azulene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Beta-himachalene,1461-03-06,"(4aR)-3,5,5,9-tetramethyl-1,2,4a,6,7,8-hexahydrobenzo[7]annulene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Beta-selinene,,"(3R,4aS,8aR)-8a-methyl-5-methylidene-3-prop-1-en-2-yl-1,2,3,4,4a,6,7,8-octahydronaphthalene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Bicyclogermacrene,,"(1S,2E,6E,10R)-3,7,11,11-tetramethylbicyclo[8.1.0]undeca-2,6-diene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Cryptomeridiol,4666-84-6,"(1R,4aR,7R,8aR)-7-(2-hydroxypropan-2-yl)-1,4a-dimethyl-2,3,4,5,6,7,8,8a-octahydronaphthalen-1-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Cyclosativene,,"1,2-dimethyl-8-propan-2-yltetracyclo[4.4.0.02,4.03,7]decane",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Dehydroleucodin,36150-07-09,"(3aS,9aS,9bS)-6,9-dimethyl-3-methylidene-4,5,9a,9b-tetrahydro-3aH-azuleno[4,5-b]furan-2,7-dione",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Dehydromatricarin,,"[(3aR,4S,9aS,9bR)-6,9-dimethyl-3-methylidene-2,7-dioxo-4,5,9a,9b-tetrahydro-3aH-azuleno[4,5-b]furan-4-yl] acetate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Delta-cadiene,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Dentatin-A,75433-10-2,"(3aR,4S,5aR,6R,9aS,9bR)-4,6-dihydroxy-5a-methyl-3,9-dimethylidene-3a,4,5,6,7,8,9a,9b-octahydrobenzo[g][1]benzofuran-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Dentatin-B,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Drimartol B,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Epoxyfarnochrol,87688-13-9,"7-[(2E,6E)-9-(3,3-dimethyloxiran-2-yl)-3,7-dimethylnona-2,6-dienoxy]-6,8-dimethoxychromen-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Farnochrol,84652-32-4,"6,8-dimethoxy-7-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienoxy]chromen-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Gamma-curcumene,,"1-methyl-4-[(2R)-6-methylhept-5-en-2-yl]cyclohexa-1,3-diene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Gamma-himachalene,53111-25-4,"2,5,9,9-tetramethyl-3,4,4a,7,8,9a-hexahydrobenzo[7]annulene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Germacrene-D,,"(1Z,6Z,8S)-1-methyl-5-methylidene-8-propan-2-ylcyclodeca-1,6-diene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Isophotosantonic lactone,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Longicyclene,1137-12-8,"2,6,6,9-tetramethyltetracyclo[5.4.0.02,9.08,10]undecane",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Longifolene,475-20-7,"3,3,7-trimethyl-8-methylidenetricyclo[5.4.0.02,9]undecane",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Nerolidol,7212-44-4,"(6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Parishin-A,62499-28-9,"tris[[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methyl] 2-hydroxypropane-1,2,3-tricarboxylate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Parishin-B,,"3-hydroxy-5-oxo-5-[[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methoxy]-3-[[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methoxycarbonyl]pentanoic acid",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Parishin-C,,"2-hydroxy-4-oxo-2-[2-oxo-2-[[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methoxy]ethyl]-4-[[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methoxy]butanoic acid",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Santonin,0481-06-01,"(3S,3aS,5aS,9bS)-3,5a,9-trimethyl-3a,4,5,9b-tetrahydro-3H-benzo[g][1]benzofuran-2,8-dione",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Silphinene,,"(1R,5S,8R,11R)-5,7,7,11-tetramethyltricyclo[6.3.0.01,5]undec-2-ene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Spathulenol,6750-60-3,"(1aR,4aR,7S,7aR,7bR)-1,1,7-trimethyl-4-methylidene-1a,2,3,4a,5,6,7a,7b-octahydrocyclopropa[h]azulen-7-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Tatridin-C,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Terelactone,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"Dihydroquercetin 7,30-dimethyl ether",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Artelin,66173-52-2,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Esculin 7- methylether (methylesculin),,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Esculin,531-75-9,"7-hydroxy-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Scopoletin (7- hydroxy-6- methoxycoumarin),92-61-5,7-hydroxy-6-methoxychromen-2-one,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Axillarin,5188-73-8,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,6-dimethoxychromen-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Esculetin,0305-01-01,"6,7-dihydroxychromen-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Isoscopoletin,776-86-3,6-hydroxy-7-methoxychromen-2-one,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),6-Beta-D-glucosyl-7- methoxycoumarin,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"5,4'Dihydroxy3,6,7,30- tetramethoxyflavone",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Apigenin,520-36-5,"5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Apigenin 4'-methyl ether (acacetin),480-44-4,"5,7-dihydroxy-2-(4-methoxyphenyl)chromen-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Apigenin 7-Oglucoside,,"5-hydroxy-2-(4-hydroxyphenyl)-7-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Cichoriin (esculetin 7-O-glucoside),531-58-8,"6-hydroxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Eupafolin,0520-11-6,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-methoxychromen-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"Isofraxidin (7- hydroxy-6,8- dimethoxycoumarin)",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Kaempferol,520-18-3,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Kaempferol 6- methyl ether,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Luteolin,491-70-3,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Luteolin-7-Oglucoside,5373-11-5,"2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Magnoloside,,"[2-[2-(3,4-dihydroxyphenyl)ethoxy]-5-hydroxy-6-(hydroxymethyl)-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-4-yl] 3-(3,4-dihydroxyphenyl)prop-2-enoate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Penduletin,569-80-2,"5-hydroxy-2-(4-hydroxyphenyl)-3,6,7-trimethoxychromen-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Quercetagetin,90-18-6,"2-(3,4-dihydroxyphenyl)-3,5,6,7-tetrahydroxychromen-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"Quercetagetin-3,6,7- trimethyl ether",14965-20-9,"2-(3,4-dihydroxyphenyl)-5-hydroxy-3,6,7-trimethoxychromen-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Quercetin,117-39-5,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"Quercetin 7,30- dimethyl ether (Rhamnazine)",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Scoparone,0120-08-01,"6,7-dimethoxychromen-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Skimmin,93-39-0,"7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Umbelliferone,93-35-6,7-hydroxychromen-2-one,,,,,,
